Rank	State	Female_Earnings	Male_Earnings	FtoMRatio	Wage_Gap	Prop_Obama
1	District of Columbia	$60,116	$66,754	90.1	9.9	90.91
2	Maryland	$49,000	$57,447	85.3	14.7	61.97
2	Nevada	$35,941	$42,137	85.3	14.7	52.36
4	Vermont	$38,017	$44,776	84.9	15.1	66.57
5	New York	$43,000	$51,274	83.9	16.1	63.35
6	California	$41,956	$50,139	83.7	16.3	60.16
7	Florida	$34,202	$40,889	83.6	16.4	49.90
8	Hawaii	$38,040	$45,748	83.2	16.8	70.55
9	Maine	$35,057	$42,280	82.9	17.1	56.27
10	Arizona	$35,974	$43,618	82.5	17.5	44.45
11	North Carolina	$34,421	$41,859	82.2	17.8	48.35
12	Georgia	$35,479	$43,707	81.2	18.8	45.39
13	Delaware	$41,120	$50,689	81.1	18.9	58.61
14	Rhode Island	$41,074	$50,975	80.6	19.4	62.70
15	New Mexico	$33,074	$41,211	80.3	19.7	52.99
16	Colorado	$40,402	$50,509	80.0	20.0	51.45
17	Minnesota	$40,595	$50,885	79.8	20.2	52.65
18	Massachusetts	$47,651	$60,243	79.1	20.9	60.67
18	Texas	$35,453	$44,802	79.1	20.9	41.35
20	Oregon	$37,381	$47,402	78.9	21.1	54.24
20	Virginia	$41,104	$52,125	78.9	21.1	51.16
22	Illinois	$40,309	$51,262	78.6	21.4	57.50
22	New Jersey	$47,878	$60,878	78.6	21.4	58.25
24	Connecticut	$47,900	$61,097	78.4	21.6	58.06
25	Washington	$41,062	$52,529	78.2	21.8	55.80
26	South Dakota	$31,792	$40,721	78.1	21.9	39.87
27	Wisconsin	$36,535	$46,898	77.9	22.1	52.83
28	South Carolina	$32,402	$41,740	77.6	22.4	44.09
29	Iowa	$35,106	$45,305	77.5	22.5	51.99
29	Nebraska	$33,218	$42,878	77.5	22.5	38.03
29	Tennessee	$32,398	$41,828	77.5	22.5	39.04
32	New Hampshire	$41,774	$54,136	77.2	22.8	51.98
33	Ohio	$35,984	$46,789	76.9	23.1	50.58
34	Arkansas	$30,843	$40,153	76.8	23.2	36.88
35	Missouri	$32,868	$42,974	76.5	23.5	44.28
36	Montana	$31,775	$41,656	76.3	23.7	41.66
37	Kansas	$34,131	$44,765	76.2	23.8	38.05
37	Oklahoma	$31,543	$41,415	76.2	23.8	33.23
39	Kentucky	$32,157	$42,321	76.0	24.0	37.78
40	Pennsylvania	$37,414	$49,330	75.8	24.2	51.96
41	Mississippi	$30,287	$40,081	75.6	24.4	43.79
42	Idaho	$31,296	$41,664	75.1	24.9	32.40
43	Alaska	$42,345	$57,068	74.2	25.8	40.81
44	North Dakota	$33,877	$45,888	73.8	26.2	38.69
45	Michigan	$36,772	$49,897	73.7	26.3	54.04
46	Indiana	$33,419	$45,620	73.3	26.7	43.84
47	Alabama	$31,674	$44,567	71.1	28.9	38.36
48	Utah	$34,062	$48,540	70.2	29.8	24.67
49	West Virginia	$30,885	$44,159	69.9	30.1	35.45
50	Louisiana	$31,586	$47,249	66.9	33.1	40.58
51	Wyoming	$33,152	$51,932	63.8	36.2	27.82
