height_inches	mothers_height_inches	fathers_height_inches	shoe_size_european	sex	siblings	weddings	market_shares	daily_herald	crosswords	youtube	facebook	reading	music	emoji	bravo	nyt	ray_kelly	alums	drawing	movies
65	64	72	37	F	2	3	2	2	1	2	3	4	2	3	2	2	-5	0	-1	4
61	NA	NA	37.5	F	3	4	3	3	3	4	4	4	4	3	3	3	1	3	4	4
68	62	64	43	M	1	4	1	0	0	4	-1	3	5	0	-1	1	-3	3	3	3
67	65	74	39	F	1	1	1	2	-1	4	2	5	4	0	-5	3	-5	0	5	4
72	NA	NA	43	M	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
71	66	68	43	M	1	10	3	0	3	2	3	3	5	1	-3	2	-2	4	4	2
72	NA	NA	45	M	2	1	2	-1	3	1	-1	4	5	5	-2	4	1	-2	1	4
68	65	72	41	F	0	1	-2	0	1	5	4	5	5	5	2	5	-3	0	4	5
68	NA	NA	44	M	0	1	0	0	4	5	0	-2	2	0	3	3	-4	NA	0	5
63	62	NA	37.5	F	1	3	0	0	2	3	3	3	4	3	0	3	-1	0	2	4
67	60	68	42	M	1	1	2	0	4	5	-2	4	5	5	0	2	3	1	1	1
70	64	69	45	M	1	1	0	1	2	2	3	2	4	1	-2	3	-3	2	1	4
65	61	73	38.5	F	2	10	3	1	2	4	2	2	4	4	0	4	NA	4	4	4
67	NA	NA	41	F	2	0	-1	4	3	3	4	5	4	4	1	2	-4	2	3	4
64	NA	NA	39.5	F	1	2	5	2	2	3	-4	5	5	1	0	3	-2	0	3	1
66	63	73	39.5	F	1	1	0	-5	-2	4	2	5	5	1	1	3	4	0	3	1
64	64	69	37.5	F	1	1	4	-3	4	4	3	5	5	3	0	4	-2	0	3	4
69	69	71	39.5	F	2	3	3	2	3	2	1	5	5	-2	0	4	-3	0	3	4
66	67	70	38.5	F	2	3	5	1	5	2	-3	5	5	0	-1	4	3	NA	4	3
62	65	70	37	F	1	4	0	1	0	3	3	5	5	-4	-4	3	-5	5	-3	3
65	60	74	38	F	1	2	-3	3	5	4	4	5	5	3	-3	3	-3	4	3	5
68	69	72	38.5	F	0	3	0	1	1	2	1	5	5	3	-3	2	0	3	3	5
71	62	74	44.5	M	1	2	2	3	3	3	1	4	5	2	0	3	-3	1	2	4
72	66	73	43	M	2	3	2	3	4	5	3	5	5	3	-3	3	-5	2	1	5
64	63	67	36	F	1	0	2	3	2	5	-1	5	5	4	-2	1	0	-1	3	4
68	65	70	NA	F	2	6	0	1	2	5	4	5	5	3	1	1	-3	4	4	5
70.5	68	73	39.5	F	1	6	2	1	4	4	4	2	3	1	0	-1	-1	0	2	5
64	62	NA	41	F	1	5	4	-3	3	-3	2	5	3	1	0	2	-4	1	1	3
64	62	NA	38	F	3	5	1	2	3	5	2	5	5	-5	0	4	-5	0	1	4
69	70	71	38.5	F	2	1	4	0	3	3	2	5	5	-3	-4	3	2	3	5	5
64	66	NA	39.5	F	1	2	2	0	2	4	4	5	5	3	1	2	-3	0	1	3
69	70	69	43	M	2	0	0	3	2	5	5	5	5	1	-2	4	-3	0	5	5
67	63	72	39.5	F	1	1	0	1	2	4	4	4	4	2	0	1	-4	0	2	3
72	64	72	44	M	2	NA	3	0	3	3	3	3	4	2	0	1	0	0	3	3
71	66	72	43	M	2	0	0	1	3	4	3	5	5	4	0	4	4	3	2	5
73	68	73	46	M	1	1	0	2	3	4	-4	4	3	2	2	2	-5	5	0	4
69	66	74	39.5	F	1	4	0	0	-2	3	2	3	2	3	0	5	0	0	5	4
62	60	68	38.5	F	1	2	0	0	3	3	3	4	5	4	0	4	0	0	3	4
66.5	64	NA	39	F	0	5	0	2	0	5	2	5	5	0	0	3	0	0	3	5
64.5	60	67	38	F	0	5	2	2	-2	5	4	5	5	4	0	2	3	1	5	4
62	63	67	37	F	2	2	4	2	0	3	3	4	4	2	0	3	3	0	1	2
68	67	74	39	F	1	0	0	3	-1	5	1	5	5	1	-3	0	-4	0	1	5
71	72.5	68	41	F	1	2	3	0	4	2	1	4	3	0	0	1	1	0	3	2
70	64	67	42.5	M	1	4	3	0	4	0	0	4	5	5	-3	5	2	0	3	4
65	NA	NA	37	F	1	1	0	0	0	3	2	3	5	3	0	2	-1	1	4	4
71	66	71.75	39	F	1	2	3	0	1	2	2	5	5	-1	-4	4	-5	1	4	4
72	61	74	44.5	M	0	5	4	3	4	5	3	5	5	4	0	3	-2	0	2	3
74	68	71	46	M	3	2	2	-1	1	2	-3	5	5	0	-3	3	0	1	2	3
64	61	70	37.5	F	1	2	2	1	1	2	2	2	3	3	0	3	-1	2	1	3
80	72	72	49	M	1	1	0	3	0	5	5	5	5	5	0	3	5	5	5	3
65	NA	NA	39	F	1	2	-1	0	2	4	3	5	5	3	-3	3	-2	0	2	4
70	63	69	43	M	1	0	NA	3	-2	4	3	3	4	1	-1	-1	-5	2	3	4
65	65	73	38	F	2	7	0	0	5	4	2	5	5	0	-3	0	0	0	1	5
73	67	70	47	M	1	2	0	-2	2	5	0	4	5	5	2	1	-5	3	1	5
69	66	70	39	F	1	4	4	2	3	2	2	4	5	1	0	3	-2	2	3	4
71	68	67	46	M	3	5	2	2	3	2	-3	4	4	1	-3	2	-1	2	3	4
