lat	long	quadrant	continent.region	country
-53.1301	-73.6	2	Americas	Chile
-53.1301	-70	2	Americas	Chile
-50.805	-73.6	2	Americas	Chile
-50.805	-71.8	2	Americas	Chile
-50.805	-70	2	Americas	Chile
-48.5904	-75.4	2	Americas	Chile
-48.5904	-73.6	2	Americas	Chile
-48.5904	-71.8	2	Americas	Chile
-48.5904	-70	2	Americas	Chile
-48.5904	-68.2	2	Americas	Chile
-46.4688	-73.6	2	Americas	Chile
-46.4688	-71.8	2	Americas	Chile
-46.4688	-70	2	Americas	Chile
-46.4688	-68.2	2	Americas	Chile
-46.4688	169.4	5	Pacific	**
-44.427	-71.8	2	Americas	Chile
-44.427	-70	2	Americas	Chile
-44.427	-68.2	2	Americas	Chile
-44.427	-66.4	2	Americas	Chile
-44.427	169.4	5	Pacific	**
-44.427	171.2	5	Pacific	**
-42.4542	-73.6	2	Americas	Chile
-42.4542	-71.8	2	Americas	Chile
-42.4542	-70	2	Americas	Chile
-42.4542	-68.2	2	Americas	Chile
-42.4542	-66.4	2	Americas	Chile
-42.4542	-64.6	2	Americas	Chile
-42.4542	146	5	Pacific	**
-42.4542	147.8	5	Pacific	**
-42.4542	171.2	5	Pacific	**
-42.4542	173	5	Pacific	**
-40.5416	-73.6	2	Americas	Chile
-40.5416	-71.8	2	Americas	Chile
-40.5416	-70	2	Americas	Chile
-40.5416	-68.2	2	Americas	Chile
-40.5416	-66.4	2	Americas	Chile
-40.5416	-64.6	2	Americas	Chile
-40.5416	-62.8	2	Americas	Chile
-40.5416	173	5	Pacific	**
-38.6822	-71.8	2	Americas	Chile
-38.6822	-70	2	Americas	Chile
-38.6822	-68.2	2	Americas	Chile
-38.6822	-66.4	2	Americas	Chile
-38.6822	-64.6	2	Americas	Chile
-38.6822	-62.8	2	Americas	Chile
-38.6822	-61	2	Americas	Chile
-38.6822	-59.2	2	Americas	Chile
-38.6822	146	5	Pacific	**
-38.6822	174.8	5	Pacific	**
-38.6822	176.6	5	Pacific	**
-36.8699	-71.8	2	Americas	Chile
-36.8699	-70	2	Americas	Chile
-36.8699	-68.2	2	Americas	Chile
-36.8699	-66.4	2	Americas	Chile
-36.8699	-64.6	2	Americas	Chile
-36.8699	-62.8	2	Americas	Chile
-36.8699	-61	2	Americas	Chile
-36.8699	-59.2	2	Americas	Chile
-36.8699	-57.4	2	Americas	Chile
-36.8699	140.6	5	Pacific	**
-36.8699	142.4	5	Pacific	**
-36.8699	144.2	5	Pacific	**
-36.8699	146	5	Pacific	**
-36.8699	147.8	5	Pacific	**
-36.8699	149.6	5	Pacific	**
-36.8699	174.8	5	Pacific	**
-35.0996	-71.8	2	Americas	Chile
-35.0996	-70	2	Americas	Chile
-35.0996	-68.2	2	Americas	Chile
-35.0996	-66.4	2	Americas	Chile
-35.0996	-64.6	2	Americas	Chile
-35.0996	-62.8	2	Americas	Chile
-35.0996	-61	2	Americas	Chile
-35.0996	-59.2	2	Americas	Chile
-35.0996	137	5	Pacific	**
-35.0996	138.8	5	Pacific	**
-35.0996	140.6	5	Pacific	**
-35.0996	142.4	5	Pacific	**
-35.0996	144.2	5	Pacific	**
-35.0996	146	5	Pacific	**
-35.0996	147.8	5	Pacific	**
-35.0996	149.6	5	Pacific	**
-33.367	-70	2	Americas	Chile
-33.367	-68.2	2	Americas	Chile
-33.367	-66.4	2	Americas	Chile
-33.367	-64.6	2	Americas	Chile
-33.367	-62.8	2	Americas	Chile
-33.367	-61	2	Americas	Chile
-33.367	-59.2	2	Americas	Chile
-33.367	-57.4	2	Americas	Chile
-33.367	-55.6	2	Americas	Chile
-33.367	-53.8	2	Americas	Chile
-33.367	18.2	3	Africa	**
-33.367	20	3	Africa	**
-33.367	21.8	3	Africa	**
-33.367	23.6	3	Africa	**
-33.367	25.4	3	Africa	**
-33.367	27.2	3	Africa	**
-33.367	117.2	4	Pacific	**
-33.367	119	4	Pacific	**
-33.367	120.8	5	Pacific	**
-33.367	122.6	5	Pacific	**
-33.367	135.2	5	Pacific	**
-33.367	137	5	Pacific	**
-33.367	138.8	5	Pacific	**
-33.367	140.6	5	Pacific	**
-33.367	142.4	5	Pacific	**
